,Country,Longitude,Latitude
0,Albania,19.9999619,41.000028
1,Algeria,2.9999825,28.0000272
2,Angola,17.5691241,-11.8775768
3,Antigua and Barbuda,-61.9554608,17.2234721
4,Argentina,-64.9672817,-34.9964963
5,Armenia,44.6736646,40.7696272
6,Australia,134.755,-24.7761086
7,Austria,14.12456,47.59397
8,Azerbaijan,47.7872508,40.3936294
9,Bahrain,50.5344606,26.1551249
10,Bangladesh,90.2934413,24.4769288
11,Barbados,-59.5250305,13.1500331
12,Belarus,27.6971358,53.4250605
13,Belgium,4.6667145,50.6402809
14,Belize,-88.7600927,16.8259793
15,Benin,2.2584408,9.5293472
16,Bhutan,90.5119273,27.549511
17,Botswana,24.5928742,-23.1681782
18,Brazil,-53.2,-10.3333333
19,Bulgaria,25.4856617,42.6073975
20,Burkina Faso,-1.6880314,12.0753083
21,Burundi,29.9324519,-3.426449
22,Cambodia,104.8144914,12.5433216
23,Cameroon,13.1535811,4.6125522
24,Central African Republic,19.9981227,7.0323598
25,Chad,19.0156172,15.6134137
26,Chile,-71.3187697,-31.7613365
27,China,104.999927,35.000074
28,Colombia,-72.9088133,4.099917
29,Comoros,44.2832964,-12.2045176
30,Costa Rica,-84.0739102,10.2735633
31,Croatia,17.0118954,45.5643442
32,Cuba,-80.8328748,23.0131338
33,Cyprus,33.1451285,34.9823018
34,Denmark,10.3333283,55.670249
35,Djibouti,42.8453061,11.8145966
36,Dominican Republic,-70.3028026,19.0974031
37,Ecuador,-79.3666965,-1.3397668
38,El Salvador,-88.9140683,13.8000382
39,Equatorial Guinea,10.5170357,1.613172
40,Estonia,25.3319078,58.7523778
41,Ethiopia,38.6521203,10.2116702
42,Fiji,179.0122737,-18.1239696
43,Finland,25.9209164,63.2467777
44,France,1.8883335,46.603354
45,Gabon,11.6899699,-0.8999695
46,Georgia,-83.1137366,32.3293809
47,Germany,10.4478313,51.1638175
48,Ghana,-1.0800271,8.0300284
49,Greece,21.9877132,38.9953683
50,Grenada,-61.6904045,12.1360374
51,Guatemala,-90.345759,15.5855545
52,Guinea,-10.7083587,10.7226226
53,Guinea-Bissau,-14.9000214,12.100035
54,Guyana,-58.6416891,4.8417097
55,Haiti,-72.3570972,19.1399952
56,Honduras,-86.0755145,15.2572432
57,Hungary,19.5060937,47.1817585
58,Iceland,-18.1059013,64.9841821
59,India,78.6677428,22.3511148
60,Indonesia,117.8902853,-2.4833826
61,Iraq,44.1749775,33.0955793
62,Ireland,-7.9794599,52.865196
63,Israel,34.8594762,30.8124247
64,Italy,12.674297,42.6384261
65,Jamaica,-77.3947693,18.1850507
66,Japan,139.2394179,36.5748441
67,Jordan,36.941628,31.1667049
68,Kazakhstan,66.7780818,48.1012954
69,Kenya,38.4313975,1.4419683
70,Kuwait,47.4979476,29.2733964
71,Latvia,24.7537645,56.8406494
72,Lebanon,35.843409,33.8750629
73,Lesotho,28.3350193,-29.6039267
74,Liberia,-9.3658524,5.7499721
75,Libya,18.1236723,26.8234472
76,Lithuania,23.7499997,55.3500003
77,Luxembourg,6.1296751,49.8158683
78,Madagascar,46.4416422,-18.9249604
79,Malawi,33.9301963,-13.2687204
80,Malaysia,102.2656823,4.5693754
81,Maldives,73.2244152,3.7203503
82,Mali,-2.2900239,16.3700359
83,Malta,14.4476911,35.8885993
84,Mauritania,-9.2399263,20.2540382
85,Mauritius,57.5703566,-20.2759451
86,Mexico,-102.0077097,23.6585116
87,Mongolia,103.8499736,46.8250388
88,Morocco,-7.3362482,31.1728205
89,Mozambique,34.9144977,-19.302233
90,Namibia,17.3231107,-23.2335499
91,Nepal,84.0917139,28.1083929
92,Netherlands,5.6343227,52.2434979
93,New Zealand,172.8344077,-41.5000831
94,Nicaragua,-85.2936911,12.6090157
95,Niger,9.3238432,17.7356214
96,Nigeria,7.9999721,9.6000359
97,Norway,9.0999715,60.5000209
98,Oman,57.0036901,21.0000287
99,Pakistan,71.247499,30.3308401
100,Panama,-81.1308434,8.559559
101,Papua New Guinea,144.2489081,-5.6816069
102,Paraguay,-58.1693445,-23.3165935
103,Peru,-75.0458515,-6.8699697
104,Philippines,122.7312101,12.7503486
105,Poland,19.134422,52.215933
106,Portugal,-7.8896263,40.0332629
107,Qatar,51.2295295,25.3336984
108,Romania,24.6859225,45.9852129
109,Rwanda,30.0644358,-1.9646631
110,Samoa,-172.12005,-13.7693895
111,Saudi Arabia,42.3528328,25.6242618
112,Senegal,-14.4529612,14.4750607
113,Seychelles,55.4540146,-4.6574977
114,Sierra Leone,-11.8400269,8.6400349
115,Singapore,103.8194992,1.357107
116,Slovenia,14.4808369,45.8133113
117,Solomon Islands,159.1070693851845,-8.7053941
118,South Africa,24.991639,-28.8166236
119,Spain,-4.8379791,39.3260685
120,Sri Lanka,80.7137847,7.5554942
121,Suriname,-56.0771187,4.1413025
122,Sweden,14.5208584,59.6749712
123,Switzerland,8.2319736,46.7985624
124,Tajikistan,70.8156541,38.6281733
125,Thailand,100.83273,14.8971921
126,Togo,1.0199765,8.7800265
127,Tonga,-175.202642,-19.9160819
128,Trinidad and Tobago,-61.0840075,10.7466905
129,Tunisia,9.400138,33.8439408
130,Turkmenistan,59.3924609,39.3763807
131,Uganda,32.2166578,1.5333554
132,Ukraine,31.2718321,49.4871968
133,United Arab Emirates,53.9994829,24.0002488
134,Uruguay,-56.0201525,-32.8755548
135,Uzbekistan,63.9528098,41.32373
136,Vanuatu,168.1069154,-16.5255069
137,Zambia,27.5589884,-14.5189121
138,Zimbabwe,29.7468414,-18.4554963
